partner_iso,partner_name,agreement,year,hs2,hs2_description,hs_section,hs_section_description,agri_flag,total_imports,total_imports_excl_special_processing,mfn_zero_imports,mfn_non_zero_imports,gsp_zero_imports,gsp_non_zero_imports,fta_zero_imports,fta_non_zero_imports,special_processing_imports,unknown_imports,pref_eligible_imports,pref_usage_imports,pur_percent,tariff_free_percent
AD,Andorra,EU-TCA,2021,39,Plastics and articles thereof,7,Plastics & rubber,Non-AGRI,42288,42288,11196,31092,0,0,0,0,0,0,31092,0,0,26.5
AD,Andorra,EU-TCA,2021,61,Apparel and clothing accessories; knitted or crocheted,11,Textiles & textile articles,Non-AGRI,4436,4436,0,4436,0,0,0,0,0,0,4436,0,0,0
AD,Andorra,EU-TCA,2021,62,Apparel and clothing accessories; not knitted or crocheted,11,Textiles & textile articles,Non-AGRI,1566,1566,0,1566,0,0,0,0,0,0,1566,0,0,0
AD,Andorra,EU-TCA,2021,70,Glass and glassware,13,"Articles of stone, plaster, cement, asbestos",Non-AGRI,51809,51809,51809,0,0,0,0,0,0,0,0,0,NA,100
AD,Andorra,EU-TCA,2021,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",14,"Pearls, (semi-)precious stones & metals",Non-AGRI,1178,1178,0,1178,0,0,0,0,0,0,1178,0,0,0
AD,Andorra,EU-TCA,2021,73,Iron or steel articles,15,Base metals & articles thereof,Non-AGRI,74647,0,0,0,0,0,0,0,74647,0,0,0,NA,NA
AD,Andorra,EU-TCA,2021,83,Metal; miscellaneous products of base metal,15,Base metals & articles thereof,Non-AGRI,52407,52407,52407,0,0,0,0,0,0,0,0,0,NA,100
AD,Andorra,EU-TCA,2021,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",16,Machinery & mechanical appliances,Non-AGRI,6927,3778,3778,0,0,0,0,0,3149,0,0,0,NA,100
AD,Andorra,EU-TCA,2021,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machinery & mechanical appliances,Non-AGRI,3147309,3147309,3126333,20976,0,0,0,0,0,0,20976,0,0,99.3
AD,Andorra,EU-TCA,2021,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation equipment,Non-AGRI,417048,417048,350667,63089,0,0,3292,0,0,0,66381,3292,5,84.9
AD,Andorra,EU-TCA,2021,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,"Instruments - measuring, musical",Non-AGRI,189150,189150,143118,46032,0,0,0,0,0,0,46032,0,0,75.7
AD,Andorra,EU-TCA,2021,91,Clocks and watches and parts thereof,18,"Instruments - measuring, musical",Non-AGRI,4486,4486,0,4486,0,0,0,0,0,0,4486,0,0,0
AD,Andorra,EU-TCA,2021,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",20,Miscellaneous manufactures,Non-AGRI,14583,14583,14583,0,0,0,0,0,0,0,0,0,NA,100
AD,Andorra,EU-TCA,2021,95,"Toys, games and sports requisites; parts and accessories thereof",20,Miscellaneous manufactures,Non-AGRI,969,969,969,0,0,0,0,0,0,0,0,0,NA,100
AD,Andorra,EU-TCA,2021,97,Works of art; collectors' pieces and antiques,21,Works of art,Non-AGRI,210631,210631,210631,0,0,0,0,0,0,0,0,0,NA,100
AE,United Arab Emirates,No FTA,2021,01,Animals; live,1,Animals & animal products,AGRI,3759171,3759171,3642671,116500,0,0,0,0,0,0,0,0,NA,96.9
AE,United Arab Emirates,No FTA,2021,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,Animals & animal products,AGRI,1587,1587,0,1587,0,0,0,0,0,0,0,0,NA,0
AE,United Arab Emirates,No FTA,2021,05,Animal originated products; not elsewhere specified or included,1,Animals & animal products,AGRI,1300,1300,1300,0,0,0,0,0,0,0,0,0,NA,100
AE,United Arab Emirates,No FTA,2021,07,Vegetables and certain roots and tubers; edible,2,Vegetable products,AGRI,3317022,3317022,3168815,148207,0,0,0,0,0,0,0,0,NA,95.5
AE,United Arab Emirates,No FTA,2021,08,"Fruit and nuts, edible; peel of citrus fruit or melons",2,Vegetable products,AGRI,4004735,4004735,270561,3734174,0,0,0,0,0,0,0,0,NA,6.8
AE,United Arab Emirates,No FTA,2021,09,"Coffee, tea, mate and spices",2,Vegetable products,AGRI,1596385,1596385,1557262,39123,0,0,0,0,0,0,0,0,NA,97.5
AE,United Arab Emirates,No FTA,2021,10,Cereals,2,Vegetable products,AGRI,957187,957187,0,957187,0,0,0,0,0,0,0,0,NA,0
AE,United Arab Emirates,No FTA,2021,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",2,Vegetable products,AGRI,428,428,0,428,0,0,0,0,0,0,0,0,NA,0
AE,United Arab Emirates,No FTA,2021,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,Vegetable products,AGRI,296952,296952,296952,0,0,0,0,0,0,0,0,0,NA,100
AE,United Arab Emirates,No FTA,2021,13,"Lac; gums, resins and other vegetable saps and extracts",2,Vegetable products,AGRI,31763,31763,31763,0,0,0,0,0,0,0,0,0,NA,100
AE,United Arab Emirates,No FTA,2021,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,2,Vegetable products,AGRI,3401,3401,3401,0,0,0,0,0,0,0,0,0,NA,100
AE,United Arab Emirates,No FTA,2021,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",3,Fats and oil,AGRI,2655002,2655002,0,2655002,0,0,0,0,0,0,0,0,NA,0
AE,United Arab Emirates,No FTA,2021,17,Sugars and sugar confectionery,4,Prepared food and beverages,AGRI,274394,274394,0,274394,0,0,0,0,0,0,0,0,NA,0
AE,United Arab Emirates,No FTA,2021,18,Cocoa and cocoa preparations,4,Prepared food and beverages,AGRI,99428,99428,0,99428,0,0,0,0,0,0,0,0,NA,0
AE,United Arab Emirates,No FTA,2021,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",4,Prepared food and beverages,AGRI,905311,905311,0,905311,0,0,0,0,0,0,0,0,NA,0
AE,United Arab Emirates,No FTA,2021,20,"Preparations of vegetables, fruit, nuts or other parts of plants",4,Prepared food and beverages,AGRI,555528,536338,5456,530882,0,0,0,0,19190,0,0,0,NA,1
AE,United Arab Emirates,No FTA,2021,21,Miscellaneous edible preparations,4,Prepared food and beverages,AGRI,2318790,1451394,234176,1217218,0,0,0,0,867396,0,0,0,NA,16.1
