cooalpha,codalpha,comcode,statreg,eligibility,use,perref,statvalue,netmass,suppunit
AD,AD,84717098,1,e1,u10,202201,11623,8,48.0
AD,AD,85235200,1,e1,u10,202201,21279,2,7.0
AD,AD,85309000,1,e1,u10,202201,21030,370,0.0
AD,ES,85235200,1,e1,u10,202201,152149,807,146821.0
AD,FR,85423310,1,e1,u10,202201,1233,1,0.0
AD,KR,85311030,1,e3,u11,202201,2346,22,16.0
AD,KR,90271010,1,e1,u10,202201,92821,999,471.0
AD,KR,90279000,1,e1,u10,202201,9066,101,0.0
AE,AE,1063100,1,e1,u10,202201,21005,141,32.0
AE,AE,4029910,1,e1,u11,202201,2386,515,0.0
AE,AE,7129090,1,e1,u11,202201,19656,3570,0.0
AE,AE,7132000,1,e1,u10,202201,17803,24000,0.0
AE,AE,7133100,1,e1,u10,202201,100006,99000,0.0
AE,AE,8029990,1,e1,u11,202201,918,107,0.0
AE,AE,8041000,1,e1,u11,202201,659289,467654,0.0
AE,AE,8134095,1,e1,u11,202201,11684,1200,0.0
AE,AE,9012100,1,e1,u11,202201,3722,674,0.0
AE,AE,9023000,1,e1,u10,202201,22806,1654,0.0
AE,AE,9024000,1,e1,u10,202201,76861,10794,0.0
AE,AE,9109190,1,e1,u10,202201,148357,30450,0.0
AE,AE,10063027,1,e1,u11,202201,212305,240000,0.0
AE,AE,12040090,1,e1,u10,202201,36843,43800,0.0
AE,AE,12119086,1,e1,u10,202201,2277,715,0.0
AE,AE,15180095,1,e1,u11,202201,15573,23520,0.0
AE,AE,18062095,1,e1,u11,202201,5622,2310,0.0
AE,AE,18063100,1,e1,u11,202201,22453,3450,0.0
AE,AE,19053211,1,e1,u11,202201,55440,12271,0.0
AE,AE,19059030,1,e1,u11,202201,49898,95968,0.0
AE,AE,20091200,2,e1,uzz,202201,6137,3760,0.0
AE,AE,20095090,2,e1,uzz,202201,313,1053,0.0
AE,AE,20097199,2,e1,uzz,202201,4834,4402,0.0
AE,AE,20098936,2,e1,uzz,202201,2120,2255,0.0
AE,AE,21069092,2,e1,uzz,202201,102630,6418,0.0
AE,AE,21069098,1,e1,u11,202201,59281,23795,0.0
AE,AE,22021000,1,e1,u11,202201,13527,50819,50819.0
AE,AE,22021000,2,e1,uzz,202201,4485,2148,19940.0
AE,AE,22029100,1,e1,u10,202201,19110,48000,48000.0
AE,AE,22029911,1,e1,u11,202201,2709,16620,16620.0
AE,AE,22083011,1,e1,u10,202201,17088,1544,1536.0
AE,AE,22084011,1,e1,u11,202201,1631,498,192.0
AE,AE,24031990,1,e1,u11,202201,1667,24,0.0
AE,AE,25162000,1,e1,u10,202201,87676,216000,0.0
AE,AE,27101921,1,e1,u10,202201,96488370,162295331,0.0
AE,AE,27101943,1,e1,u10,202201,28599368,58637269,0.0
AE,AE,27101981,1,e1,u11,202201,39175,23710,28300.0
AE,AE,27102090,1,e1,u11,202201,108998,70473,0.0
AE,AE,27129099,1,e1,u10,202201,12863,5914,0.0
AE,AE,28363000,1,e1,u11,202201,39923,21600,0.0
AE,AE,29071510,1,e1,u10,202201,32601,3000,0.0
AE,AE,29094100,1,e1,u11,202201,16555,11655,0.0
AE,AE,32099000,1,e1,u11,202201,2632,197,0.0
AE,AE,33011290,1,e1,u10,202201,2469,1,0.0
AE,AE,33012949,1,e1,u10,202201,121175,48,0.0
AE,AE,33012991,1,e1,u10,202201,4561,2097,0.0
AE,AE,33019090,1,e1,u10,202201,1294,15,0.0
AE,AE,33021090,1,e1,u10,202201,4059,1548,0.0
AE,AE,33029090,1,e1,u10,202201,12525,1047,0.0
AE,AE,33030010,1,e1,u10,202201,604962,50537,0.0
AE,AE,33030090,1,e1,u10,202201,139240,9693,0.0
AE,AE,33049900,1,e1,u10,202201,4584,173,0.0
AE,AE,33051000,1,e1,u10,202201,5003,883,0.0
AE,AE,33059000,1,e1,u10,202201,324088,58658,0.0
AE,AE,33061000,1,e1,u10,202201,100460,30856,0.0
AE,AE,33072000,1,e1,u11,202201,11426,1315,0.0
AE,AE,33074100,1,e1,u11,202201,9669,1246,0.0
AE,AE,33074900,1,e1,u11,202201,3275,2167,0.0
AE,AE,33079000,1,e1,u11,202201,124662,5590,0.0
AE,AE,34011100,1,e1,u10,202201,6523,1532,0.0
AE,AE,34029090,1,e1,u11,202201,951,40,0.0
AE,AE,35061000,1,e1,u11,202201,2479,320,0.0
AE,AE,36069090,1,e1,u10,202201,12186,8417,0.0
AE,AE,38089990,1,e1,u11,202201,29481,5970,0.0
AE,AE,38200000,1,e1,u10,202201,2287,716,0.0
AE,AE,38221900,1,e1,u10,202201,14102,16,0.0
AE,AE,38229000,1,e1,u10,202201,145992,487,0.0
AE,AE,39011010,1,e1,u11,202201,339549,282130,0.0
AE,AE,39011090,1,e1,u11,202201,139456,86400,0.0
AE,AE,39021000,1,e1,u11,202201,137389,102000,0.0
AE,AE,39029020,1,e1,u10,202201,100169,195000,0.0
AE,AE,39076900,1,e1,u11,202201,12154,53140,0.0
AE,AE,39079110,1,e1,u11,202201,42989,24900,0.0
AE,AE,39095090,1,e1,u11,202201,172422,50400,0.0
AE,AE,39123985,1,e1,u11,202201,8549,1051,0.0
AE,AE,39172310,1,e1,u11,202201,2269,1729,0.0
AE,AE,39172900,1,e1,u11,202201,90991,13962,0.0
AE,AE,39173200,1,e1,u11,202201,9123,7235,0.0
AE,AE,39173900,1,e1,u11,202201,100800,53200,0.0
AE,AE,39174000,1,e1,u11,202201,2421,137,0.0
AE,AE,39203000,1,e1,u11,202201,6454,2882,0.0
AE,AE,39204910,1,e1,u11,202201,36172,19531,0.0
AE,AE,39206290,1,e1,u11,202201,26908,26824,0.0
AE,AE,39211900,1,e1,u11,202201,42052,1088,0.0
AE,AE,39219090,1,e1,u11,202201,39347,18048,0.0
AE,AE,39229000,1,e1,u11,202201,57376,4350,0.0
AE,AE,39232100,1,e1,u11,202201,193032,313298,0.0
AE,AE,39232990,1,e1,u11,202201,85417,160880,0.0
AE,AE,39233090,1,e1,u11,202201,8775,4800,400.0
AE,AE,39235090,1,e1,u11,202201,1682,631,0.0
AE,AE,39235090,2,e1,uzz,202201,1011,11,0.0
AE,AE,39239000,1,e1,u11,202201,298261,149437,0.0
AE,AE,39241000,1,e1,u11,202201,22108,8214,0.0
AE,AE,39249000,1,e1,u11,202201,38192,6485,0.0
AE,AE,39251000,1,e1,u11,202201,24185,2787,0.0
AE,AE,39252000,1,e1,u11,202201,6016,660,60.0
AE,AE,39253000,1,e1,u11,202201,11488,1512,0.0
AE,AE,39259020,1,e1,u11,202201,76394,37907,0.0
AE,AE,39269050,1,e1,u11,202201,7547,302,0.0
AE,AE,39269097,1,e1,u11,202201,26730,8509,0.0
AE,AE,40028000,1,e1,u10,202201,27798,1833,0.0
AE,AE,40030000,1,e1,u10,202201,20380,13700,0.0
AE,AE,40081100,1,e1,u11,202201,2746,276,0.0
AE,AE,40092200,1,e1,u11,202201,2000,3108,0.0
AE,AE,40112090,1,e1,u11,202201,160036,25663,364.0
AE,AE,40122000,1,e1,u11,202201,14188,12680,1100.0
AE,AE,40169100,1,e1,u11,202201,53895,48900,0.0
AE,AE,40169300,1,e1,u11,202201,10511,100,0.0
AE,AE,42021990,1,e1,u11,202201,19145,3219,0.0
AE,AE,42022100,1,e1,u11,202201,6033,8,10.0
AE,AE,42029900,1,e1,u11,202201,12154,1718,0.0
AE,AE,44029000,1,e1,u10,202201,1373,316,0.0
AE,AE,44092999,1,e1,u10,202201,1357,350,0.0
AE,AE,44170000,1,e1,u10,202201,3420,111,0.0
AE,AE,44182190,1,e1,u10,202201,35462,2662,370.0
AE,AE,44182950,1,e1,u10,202201,2686,5690,170.0
AE,AE,44182980,1,e1,u10,202201,111531,9878,164.0
AE,AE,48030031,1,e1,u10,202201,60273,43248,0.0
AE,AE,48030039,1,e1,u10,202201,29067,21624,0.0
AE,AE,48114190,1,e1,u10,202201,6270,428,0.0
AE,AE,48171000,1,e1,u10,202201,19434,10334,0.0
AE,AE,48191000,1,e1,u10,202201,20436,15160,0.0
AE,AE,48192000,1,e1,u10,202201,40142,34892,0.0
AE,AE,48193000,1,e1,u10,202201,29539,19479,0.0
AE,AE,48194000,1,e1,u10,202201,637633,417296,0.0
AE,AE,48195000,1,e1,u10,202201,23427,12554,0.0
AE,AE,48195000,2,e1,u10,202201,1016,11,0.0
AE,AE,48202000,1,e1,u10,202201,1589,664,0.0
AE,AE,48203000,1,e1,u10,202201,6211,1375,0.0
AE,AE,48209000,1,e1,u10,202201,1398,399,0.0
AE,AE,48211090,1,e1,u10,202201,7139,1005,0.0
AE,AE,48219090,1,e1,u10,202201,2639,126,0.0
AE,AE,48236910,1,e1,u10,202201,189169,120854,0.0
AE,AE,48236990,1,e1,u10,202201,81382,19307,0.0
AE,AE,48239085,1,e1,u10,202201,11479,7490,0.0
AE,AE,49011000,1,e1,u10,202201,22912,2610,0.0
AE,AE,49019900,1,e1,u10,202201,1010973,384546,0.0
AE,AE,49090000,1,e1,u10,202201,1028,4,0.0
AE,AE,49111010,1,e1,u10,202201,17368,1499,0.0
AE,AE,49119900,1,e1,u10,202201,151204,8718,0.0
AE,AE,51113080,1,e1,u11,202201,24804,8196,48203.0
AE,AE,54049090,1,e1,u10,202201,239894,79000,0.0
AE,AE,55129990,1,e1,u11,202201,2243,126,1622.0
AE,AE,57019090,1,e1,u10,202201,865,1320,240.0
AE,AE,58071010,1,e1,u11,202201,2253,239,0.0
AE,AE,61034300,1,e1,u11,202201,9740,552,2192.0
AE,AE,61043200,1,e1,u11,202201,1162,92,200.0
AE,AE,61044200,1,e1,u11,202201,3082,111,379.0
AE,AE,61044300,1,e1,u11,202201,51286,1632,4672.0
AE,AE,61045300,1,e1,u11,202201,10388,324,1008.0
AE,AE,61046200,1,e1,u11,202201,3729,269,1074.0
AE,AE,61046300,1,e1,u11,202201,4462,172,903.0
AE,AE,61083900,1,e1,u11,202201,10097,283,1193.0
AE,AE,61091000,1,e1,u11,202201,4747,300,1331.0
AE,AE,61099020,1,e1,u11,202201,10721,548,2684.0
AE,AE,61099090,1,e1,u11,202201,10294,408,1793.0
AE,AE,61102091,1,e1,u11,202201,1819,95,265.0
AE,AE,61103091,1,e1,u11,202201,5709,226,826.0
AE,AE,61112090,1,e1,u11,202201,13176,472,0.0
AE,AE,61113090,1,e1,u11,202201,4280,91,0.0
AE,AE,62014010,1,e1,u11,202201,18753,472,2054.0
AE,AE,62024010,1,e1,u11,202201,2889,71,324.0
AE,AE,62034231,1,e1,u11,202201,12334,643,770.0
AE,AE,62034390,1,e1,u11,202201,30734,1599,2994.0
AE,AE,62043100,1,e1,u11,202201,60683,1529,2217.0
AE,AE,62044100,1,e1,u11,202201,48916,1455,2110.0
AE,AE,62044200,1,e1,u11,202201,13118,428,2145.0
AE,AE,62044300,1,e1,u11,202201,64404,1776,7190.0
AE,AE,62045100,1,e1,u11,202201,25620,1716,1184.0
AE,AE,62046185,1,e1,u11,202201,31803,2168,2018.0
AE,AE,62052000,1,e1,u11,202201,2202,82,125.0
AE,AE,62063000,1,e1,u11,202201,27019,846,3513.0
AE,AE,62064000,1,e1,u11,202201,142090,2518,17142.0
AE,AE,62092000,1,e1,u11,202201,5314,180,0.0
AE,AE,62093000,1,e1,u11,202201,4250,96,0.0
AE,AE,62104000,1,e1,u11,202201,1339,27,0.0
