cooalpha,codalpha,comcode,year,imports_total,imports_ex_special,eligibility_mfn,eligibility_gsp,eligibility_fta,eligibility_combined_pref,eligibility_unknown,eligibility_pref_mfn_0,eligibility_pref_unknown,use_mfn_0,use_mfn_non_0,use_gsp_0,use_gsp_non_0,use_fta_0,use_fta_non_0,use_unknown,eligibility_pref,use_pref,pur_pct
AD,AD,15119099,2024,3450,3450,3450,0,0,0,0,0,0,0,3450,0,0,0,0,0,0,0,
AD,AD,24022090,2022,3671,3671,3671,0,0,0,0,0,0,0,3671,0,0,0,0,0,0,0,
AD,AD,39219090,2022,940,940,0,0,940,0,0,0,0,0,940,0,0,0,0,0,940,0,0.0
AD,AD,39269097,2022,887,887,0,0,887,0,0,0,0,0,887,0,0,0,0,0,887,0,0.0
AD,AD,40169997,2024,3834,3834,0,0,3834,0,0,0,0,0,3834,0,0,0,0,0,3834,0,0.0
AD,AD,49119100,2024,921,921,921,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,
AD,AD,49119100,2025,11378,11378,11378,0,0,0,0,0,0,11378,0,0,0,0,0,0,0,0,
AD,AD,59022090,2022,1379,1379,1379,0,0,0,0,0,0,1379,0,0,0,0,0,0,0,0,
AD,AD,61012090,2023,3174,3174,0,0,3174,0,0,0,0,0,3174,0,0,0,0,0,3174,0,0.0
AD,AD,63029990,2025,5367,5367,0,0,5367,0,0,0,0,0,0,0,0,5367,0,0,5367,5367,1.0
AD,AD,70200080,2025,1109,1109,1109,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,0,
AD,AD,71131900,2024,7300,7300,0,0,7300,0,0,0,0,0,7300,0,0,0,0,0,7300,0,0.0
AD,AD,71179000,2022,2302,2302,0,0,2302,0,0,0,0,0,2302,0,0,0,0,0,2302,0,0.0
AD,AD,83024200,2022,71357,71357,71357,0,0,0,0,0,0,71357,0,0,0,0,0,0,0,0,
AD,AD,83024200,2023,30108,30108,30108,0,0,0,0,0,0,30108,0,0,0,0,0,0,0,0,
AD,AD,84713000,2024,1004,1004,1004,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,
AD,AD,84717050,2022,4023,4023,4023,0,0,0,0,0,0,4023,0,0,0,0,0,0,0,0,
AD,AD,84717098,2022,22894,22894,22894,0,0,0,0,0,0,22894,0,0,0,0,0,0,0,0,
AD,AD,84719000,2024,2657,2657,2657,0,0,0,0,0,0,2657,0,0,0,0,0,0,0,0,
AD,AD,84733080,2023,3707,3707,3707,0,0,0,0,0,0,3707,0,0,0,0,0,0,0,0,
AD,AD,84819000,2025,6175,6175,0,0,6175,0,0,0,0,0,6175,0,0,0,0,0,6175,0,0.0
AD,AD,85124000,2024,9884,9884,0,0,9884,0,0,0,0,0,9884,0,0,0,0,0,9884,0,0.0
AD,AD,85232100,2025,8995,8995,8995,0,0,0,0,0,0,8995,0,0,0,0,0,0,0,0,
AD,AD,85235200,2022,1902709,1902709,1902709,0,0,0,0,0,0,1902709,0,0,0,0,0,0,0,0,
AD,AD,85235200,2023,52484,52484,52484,0,0,0,0,0,0,52484,0,0,0,0,0,0,0,0,
AD,AD,85235200,2024,84781,84781,84781,0,0,0,0,0,0,84781,0,0,0,0,0,0,0,0,
AD,AD,85235200,2025,71672,71672,71672,0,0,0,0,0,0,71672,0,0,0,0,0,0,0,0,
AD,AD,85235200,2026,10810,10810,10810,0,0,0,0,0,0,10810,0,0,0,0,0,0,0,0,
AD,AD,85235990,2023,4535,4535,4535,0,0,0,0,0,0,4535,0,0,0,0,0,0,0,0,
AD,AD,85238090,2024,4045,4045,4045,0,0,0,0,0,0,4045,0,0,0,0,0,0,0,0,
AD,AD,85309000,2022,72839,72839,72839,0,0,0,0,0,0,72839,0,0,0,0,0,0,0,0,
AD,AD,85366910,2022,1308,1308,1308,0,0,0,0,0,0,1308,0,0,0,0,0,0,0,0,
AD,AD,85371091,2026,876,876,0,0,876,0,0,0,0,0,876,0,0,0,0,0,876,0,0.0
AD,AD,85423190,2023,14547,14547,14547,0,0,0,0,0,0,14547,0,0,0,0,0,0,0,0,
AD,AD,85444210,2022,56844,56844,56844,0,0,0,0,0,0,56844,0,0,0,0,0,0,0,0,
AD,AD,85444210,2023,901,901,901,0,0,0,0,0,0,901,0,0,0,0,0,0,0,0,
AD,AD,85444290,2022,10688,10688,0,0,10688,0,0,0,0,0,10688,0,0,0,0,0,10688,0,0.0
AD,AD,85444290,2023,7120,7120,0,0,7120,0,0,0,0,0,7120,0,0,0,0,0,7120,0,0.0
AD,AD,85447000,2022,1154,1154,1154,0,0,0,0,0,0,1154,0,0,0,0,0,0,0,0,
AD,AD,87032210,2023,4076,4076,0,0,4076,0,0,0,0,0,0,0,0,4076,0,0,4076,4076,1.0
AD,AD,87032290,2022,1000,1000,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0.0
AD,AD,87032490,2023,16850,16850,0,0,16850,0,0,0,0,0,0,0,0,16850,0,0,16850,16850,1.0
AD,AD,87116010,2022,428534,428534,0,0,428534,0,0,0,0,0,37095,0,0,391439,0,0,428534,391439,0.913437440203111
AD,AD,87116010,2023,11580,11580,0,0,11580,0,0,0,0,0,0,0,0,11580,0,0,11580,11580,1.0
AD,AD,87116010,2024,4585,4585,0,0,4585,0,0,0,0,0,0,0,0,4585,0,0,4585,4585,1.0
AD,AD,87119000,2022,48028,48028,0,0,48028,0,0,0,0,0,48028,0,0,0,0,0,48028,0,0.0
AD,AD,87120030,2023,4550,4550,0,0,4550,0,0,0,0,0,0,0,0,4550,0,0,4550,4550,1.0
AD,AD,87149110,2023,3227,3227,0,0,3227,0,0,0,0,0,2084,0,0,1143,0,0,3227,1143,0.35419894638983573
AD,AD,90189084,2023,6022,6022,6022,0,0,0,0,0,0,6022,0,0,0,0,0,0,0,0,
AD,AD,90251900,2024,2492,2492,2492,0,0,0,0,0,0,2492,0,0,0,0,0,0,0,0,
AD,AD,90251900,2025,1692,1692,1692,0,0,0,0,0,0,1692,0,0,0,0,0,0,0,0,
AD,AD,91019900,2022,2070,2070,0,0,2070,0,0,0,0,0,2070,0,0,0,0,0,2070,0,0.0
AD,AD,91019900,2025,10593,10593,0,0,10593,0,0,0,0,0,10593,0,0,0,0,0,10593,0,0.0
AD,AD,91021900,2023,46913,46913,0,0,46913,0,0,0,0,0,46913,0,0,0,0,0,46913,0,0.0
AD,AD,91022100,2023,38930,38930,0,0,38930,0,0,0,0,0,38930,0,0,0,0,0,38930,0,0.0
AD,AD,91029900,2023,1072,1072,0,0,1072,0,0,0,0,0,1072,0,0,0,0,0,1072,0,0.0
AD,AD,91131010,2026,16361,16361,0,0,16361,0,0,0,0,0,0,0,0,16361,0,0,16361,16361,1.0
AD,AD,94036010,2022,1504,1504,1504,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0,
AD,AD,94036090,2022,31472,31472,31472,0,0,0,0,0,0,31472,0,0,0,0,0,0,0,0,
AD,AD,94039990,2023,1774,1774,0,0,1774,0,0,0,0,0,0,0,0,1774,0,0,1774,1774,1.0
AD,AD,94049090,2022,2866,2866,0,0,2866,0,0,0,0,0,2866,0,0,0,0,0,2866,0,0.0
AD,AD,94061000,2025,108127,108127,0,0,108127,0,0,0,0,0,108127,0,0,0,0,0,108127,0,0.0
AD,AD,95049080,2024,991,991,991,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0,
AD,AD,97019100,2024,1667,1667,1667,0,0,0,0,0,0,1667,0,0,0,0,0,0,0,0,
AD,AD,97019900,2022,83889,83889,83889,0,0,0,0,0,0,83889,0,0,0,0,0,0,0,0,
AD,AD,97019900,2023,25678,25678,25678,0,0,0,0,0,0,25678,0,0,0,0,0,0,0,0,
AD,AD,97019900,2024,1000,1000,1000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,
AD,AD,97019900,2025,19732,19732,19732,0,0,0,0,0,0,19732,0,0,0,0,0,0,0,0,
AD,AD,97040000,2022,2203,2203,2203,0,0,0,0,0,0,2203,0,0,0,0,0,0,0,0,
AD,AD,97051000,2024,3000,3000,3000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,
