event_id,delivery_id,store_name,scooter_id,event_timestamp,distance_km,event_type,status
1,1,Downtown Hub,SC001,2026-09-03 12:15:00,0.0,order_received,operational
2,1,Downtown Hub,SC001,2026-09-03 12:24:00,0.23,arrived_restaurant,operational
3,1,Downtown Hub,SC001,2026-09-03 12:28:00,0.0,pickup_complete,operational
4,1,Downtown Hub,SC001,2026-09-03 12:29:00,1.22,in_transit,operational
5,1,Downtown Hub,SC001,2026-09-03 12:35:00,0.0,waiting_traffic,operational
6,1,Downtown Hub,SC001,2026-09-03 12:39:00,0.86,in_transit,operational
7,1,Downtown Hub,SC001,2026-09-03 12:48:00,0.1,arrived_customer,operational
8,1,Downtown Hub,SC001,2026-09-03 12:51:00,0.0,delivery_complete,operational
9,2,Downtown Hub,SC018,2026-09-01 19:41:00,0.0,order_received,operational
10,2,Downtown Hub,SC018,2026-09-01 19:47:00,0.16,arrived_restaurant,operational
11,2,Downtown Hub,SC018,2026-09-01 19:52:00,0.0,pickup_complete,operational
12,2,Downtown Hub,SC018,2026-09-01 19:53:00,1.18,in_transit,operational
13,2,Downtown Hub,SC018,2026-09-01 20:00:00,0.0,waiting_traffic,operational
14,2,Downtown Hub,SC018,2026-09-01 20:01:00,2.03,in_transit,operational
15,2,Downtown Hub,SC018,2026-09-01 20:05:00,0.25,arrived_customer,operational
16,2,Downtown Hub,SC018,2026-09-01 20:06:00,0.0,delivery_complete,operational
17,3,Eastgate Food Court,SC005,2026-09-01 20:21:00,0.0,order_received,operational
18,3,Eastgate Food Court,SC005,2026-09-01 20:29:00,0.2,arrived_restaurant,operational
19,3,Eastgate Food Court,SC005,2026-09-01 20:31:00,0.0,pickup_complete,operational
20,3,Eastgate Food Court,SC005,2026-09-01 20:32:00,1.26,in_transit,operational
21,3,Eastgate Food Court,SC005,2026-09-01 20:36:00,0.0,waiting_traffic,operational
22,3,Eastgate Food Court,SC005,2026-09-01 20:38:00,2.65,in_transit,operational
23,3,Eastgate Food Court,SC005,2026-09-01 20:44:00,0.17,arrived_customer,operational
24,3,Eastgate Food Court,SC005,2026-09-01 20:46:00,0.0,delivery_complete,operational
25,4,North Plaza,SC003,2026-09-03 12:53:00,0.0,order_received,operational
26,4,North Plaza,SC003,2026-09-03 13:00:00,0.13,arrived_restaurant,operational
27,4,North Plaza,SC003,2026-09-03 13:06:00,0.0,pickup_complete,operational
28,4,North Plaza,SC003,2026-09-03 13:07:00,1.3,in_transit,operational
29,4,North Plaza,SC003,2026-09-03 13:19:00,0.0,waiting_traffic,operational
30,4,North Plaza,SC003,2026-09-03 13:23:00,1.04,in_transit,operational
31,4,North Plaza,SC003,2026-09-03 13:32:00,0.1,arrived_customer,operational
32,4,North Plaza,SC003,2026-09-03 13:36:00,0.0,delivery_complete,minor_delay
33,5,Westside Kitchen,SC004,2026-09-02 12:29:00,0.0,order_received,operational
34,5,Westside Kitchen,SC004,2026-09-02 12:36:00,0.15,arrived_restaurant,operational
35,5,Westside Kitchen,SC004,2026-09-02 12:40:00,0.0,pickup_complete,operational
36,5,Westside Kitchen,SC004,2026-09-02 12:41:00,1.76,in_transit,operational
37,5,Westside Kitchen,SC004,2026-09-02 12:45:00,0.0,waiting_traffic,operational
38,5,Westside Kitchen,SC004,2026-09-02 12:48:00,1.18,in_transit,operational
39,5,Westside Kitchen,SC004,2026-09-02 12:50:00,0.23,arrived_customer,operational
40,5,Westside Kitchen,SC004,2026-09-02 12:54:00,0.0,delivery_complete,operational
41,6,Westside Kitchen,SC018,2026-09-03 11:10:00,0.0,order_received,operational
42,6,Westside Kitchen,SC018,2026-09-03 11:20:00,0.27,arrived_restaurant,operational
43,6,Westside Kitchen,SC018,2026-09-03 11:23:00,0.0,pickup_complete,operational
44,6,Westside Kitchen,SC018,2026-09-03 11:24:00,0.97,in_transit,operational
45,6,Westside Kitchen,SC018,2026-09-03 11:26:00,0.0,waiting_traffic,operational
46,6,Westside Kitchen,SC018,2026-09-03 11:30:00,2.77,in_transit,operational
47,6,Westside Kitchen,SC018,2026-09-03 11:33:00,0.21,arrived_customer,operational
48,6,Westside Kitchen,SC018,2026-09-03 11:35:00,0.0,delivery_complete,operational
49,7,Downtown Hub,SC011,2026-09-02 12:04:00,0.0,order_received,operational
50,7,Downtown Hub,SC011,2026-09-02 12:11:00,0.08,arrived_restaurant,operational
51,7,Downtown Hub,SC011,2026-09-02 12:18:00,0.0,pickup_complete,operational
52,7,Downtown Hub,SC011,2026-09-02 12:19:00,2.32,in_transit,operational
53,7,Downtown Hub,SC011,2026-09-02 12:26:00,0.0,waiting_traffic,operational
54,7,Downtown Hub,SC011,2026-09-02 12:28:00,2.21,in_transit,operational
55,7,Downtown Hub,SC011,2026-09-02 12:39:00,0.08,arrived_customer,operational
56,7,Downtown Hub,SC011,2026-09-02 12:42:00,0.0,delivery_complete,operational
57,8,Eastgate Food Court,SC005,2026-09-01 19:35:00,0.0,order_received,operational
58,8,Eastgate Food Court,SC005,2026-09-01 19:42:00,0.13,arrived_restaurant,operational
59,8,Eastgate Food Court,SC005,2026-09-01 19:47:00,0.0,pickup_complete,operational
60,8,Eastgate Food Court,SC005,2026-09-01 19:48:00,1.47,in_transit,operational
61,8,Eastgate Food Court,SC005,2026-09-01 19:56:00,0.0,waiting_traffic,operational
62,8,Eastgate Food Court,SC005,2026-09-01 19:59:00,1.42,in_transit,minor_delay
63,8,Eastgate Food Court,SC005,2026-09-01 20:10:00,0.07,arrived_customer,operational
64,8,Eastgate Food Court,SC005,2026-09-01 20:13:00,0.0,delivery_complete,operational
65,9,Downtown Hub,SC004,2026-09-01 18:10:00,0.0,order_received,operational
66,9,Downtown Hub,SC004,2026-09-01 18:15:00,0.28,arrived_restaurant,operational
67,9,Downtown Hub,SC004,2026-09-01 18:18:00,0.0,pickup_complete,operational
68,9,Downtown Hub,SC004,2026-09-01 18:19:00,3.15,in_transit,operational
69,9,Downtown Hub,SC004,2026-09-01 18:27:00,0.0,waiting_traffic,minor_delay
70,9,Downtown Hub,SC004,2026-09-01 18:29:00,3.21,in_transit,operational
71,9,Downtown Hub,SC004,2026-09-01 18:37:00,0.27,arrived_customer,minor_delay
72,9,Downtown Hub,SC004,2026-09-01 18:43:00,0.0,delivery_complete,operational
73,10,Downtown Hub,SC004,2026-09-03 22:34:00,0.0,order_received,operational
74,10,Downtown Hub,SC004,2026-09-03 22:42:00,0.11,arrived_restaurant,operational
75,10,Downtown Hub,SC004,2026-09-03 22:45:00,0.0,pickup_complete,operational
76,10,Downtown Hub,SC004,2026-09-03 22:46:00,3.12,in_transit,operational
77,10,Downtown Hub,SC004,2026-09-03 22:55:00,0.0,waiting_traffic,operational
78,10,Downtown Hub,SC004,2026-09-03 22:57:00,1.93,in_transit,operational
79,10,Downtown Hub,SC004,2026-09-03 23:04:00,0.11,arrived_customer,operational
80,10,Downtown Hub,SC004,2026-09-03 23:07:00,0.0,delivery_complete,operational
81,11,Westside Kitchen,SC017,2026-09-01 21:40:00,0.0,order_received,operational
82,11,Westside Kitchen,SC017,2026-09-01 21:46:00,0.29,arrived_restaurant,operational
83,11,Westside Kitchen,SC017,2026-09-01 21:49:00,0.0,pickup_complete,operational
84,11,Westside Kitchen,SC017,2026-09-01 21:50:00,2.7,in_transit,operational
85,11,Westside Kitchen,SC017,2026-09-01 21:51:00,0.0,waiting_traffic,operational
86,11,Westside Kitchen,SC017,2026-09-01 21:54:00,3.4,in_transit,operational
87,11,Westside Kitchen,SC017,2026-09-01 22:00:00,0.13,arrived_customer,operational
88,11,Westside Kitchen,SC017,2026-09-01 22:03:00,0.0,delivery_complete,operational
89,12,Downtown Hub,SC020,2026-09-02 15:01:00,0.0,order_received,operational
90,12,Downtown Hub,SC020,2026-09-02 15:03:00,0.06,arrived_restaurant,operational
91,12,Downtown Hub,SC020,2026-09-02 15:08:00,0.0,pickup_complete,minor_delay
92,12,Downtown Hub,SC020,2026-09-02 15:09:00,1.45,in_transit,operational
93,12,Downtown Hub,SC020,2026-09-02 15:16:00,0.0,waiting_traffic,operational
94,12,Downtown Hub,SC020,2026-09-02 15:18:00,3.46,in_transit,operational
95,12,Downtown Hub,SC020,2026-09-02 15:24:00,0.11,arrived_customer,operational
96,12,Downtown Hub,SC020,2026-09-02 15:26:00,0.0,delivery_complete,operational
97,13,North Plaza,SC003,2026-09-03 20:08:00,0.0,order_received,operational
98,13,North Plaza,SC003,2026-09-03 20:19:00,0.11,arrived_restaurant,operational
99,13,North Plaza,SC003,2026-09-03 20:25:00,0.0,pickup_complete,operational
100,13,North Plaza,SC003,2026-09-03 20:26:00,2.51,in_transit,operational
101,13,North Plaza,SC003,2026-09-03 20:35:00,0.0,waiting_traffic,operational
102,13,North Plaza,SC003,2026-09-03 20:38:00,1.04,in_transit,operational
