partner_iso,partner_name,agreement,year,hs2,hs2_description,hs_section,hs_section_description,agri_flag,total_exports,total_exports_excl_special_processing,mfn_zero_exports,mfn_non_zero_exports,fta_zero_exports,fta_non_zero_exports,special_processing_exports,unknown_exports,pref_eligible_exports,pref_usage_exports,pur_percent,tariff_free_percent
AL,Albania,Albania,2021,02,Meat and edible meat offal,1,Animals & animal products,AGRI,787518,787518,0,787518,0,0,0,0,845,0,0,0
AL,Albania,Albania,2021,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,Animals & animal products,AGRI,52954,52954,52954,0,0,0,0,0,0,0,NA,100
AL,Albania,Albania,2021,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,Animals & animal products,AGRI,274969,274969,131361,136088,7520,0,0,0,17178,7520,43.8,50.5
AL,Albania,Albania,2021,07,Vegetables and certain roots and tubers; edible,2,Vegetable products,AGRI,740,740,0,667,73,0,0,0,740,73,9.8,9.9
AL,Albania,Albania,2021,08,"Fruit and nuts, edible; peel of citrus fruit or melons",2,Vegetable products,AGRI,1604,1604,0,1531,73,0,0,0,1373,73,5.3,4.6
AL,Albania,Albania,2021,09,"Coffee, tea, mate and spices",2,Vegetable products,AGRI,18818,18818,0,18770,49,0,0,0,6039,49,0.8,0.3
AL,Albania,Albania,2021,10,Cereals,2,Vegetable products,AGRI,2503,2503,0,2503,0,0,0,0,1338,0,0,0
AL,Albania,Albania,2021,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",2,Vegetable products,AGRI,13557,13557,534,8824,4199,0,0,0,13024,4199,32.2,34.9
AL,Albania,Albania,2021,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,Vegetable products,AGRI,7076,7076,1742,5334,0,0,0,0,4985,0,0,24.6
AL,Albania,Albania,2021,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3,Fats and oil,AGRI,5514,5514,2782,76,2657,0,0,0,2657,2657,100,98.6
AL,Albania,Albania,2021,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4,Prepared food and beverages,AGRI,3430,3430,59,3371,0,0,0,0,133,0,0,1.7
AL,Albania,Albania,2021,17,Sugars and sugar confectionery,4,Prepared food and beverages,AGRI,128652,128652,0,122616,6037,0,0,0,128652,6037,4.7,4.7
AL,Albania,Albania,2021,18,Cocoa and cocoa preparations,4,Prepared food and beverages,AGRI,44120,44120,0,37745,6375,0,0,0,44120,6375,14.4,14.4
AL,Albania,Albania,2021,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",4,Prepared food and beverages,AGRI,311581,311581,0,208475,103106,0,0,0,311581,103106,33.1,33.1
AL,Albania,Albania,2021,20,"Preparations of vegetables, fruit, nuts or other parts of plants",4,Prepared food and beverages,AGRI,32643,32643,0,30114,2529,0,0,0,22469,2529,11.3,7.7
AL,Albania,Albania,2021,21,Miscellaneous edible preparations,4,Prepared food and beverages,AGRI,1739677,1739677,163726,1482328,93622,0,0,0,1575332,93622,5.9,14.8
